house_mdn_value,house_mdn_age,households,rooms,bedrooms,population,mdn_income,longitude,latitude,dist_coast,dist_la,dist_sd,dist_sf,dist_sj
452600,41,126,880,129,322,8.3252,-122.23,37.88,9263.04077285038,556529.1583418,735501.80698384,21250.2137667799,67432.5170008434
358500,21,1138,7099,1106,2401,8.3014,-122.22,37.86,10225.7330715424,554279.850068765,733236.884360166,20880.6003997074,65049.9085739663
352100,52,177,1467,190,496,7.2574,-122.24,37.85,8259.08510932293,554610.717069378,733525.68293736,18811.4874496884,64867.2898334847
341300,52,219,1274,235,558,5.6431,-122.25,37.85,7768.0865708364,555194.266086292,734095.290744033,18031.0475677266,65287.1384120522
342200,52,259,1627,280,565,3.8462,-122.25,37.85,7768.0865708364,555194.266086292,734095.290744033,18031.0475677266,65287.1384120522
269700,52,193,919,213,413,4.0368,-122.25,37.85,7768.0865708364,555194.266086292,734095.290744033,18031.0475677266,65287.1384120522
299200,52,514,2535,489,1094,3.6591,-122.25,37.84,6843.02084737498,554364.406935648,733249.808577589,17538.2099724981,64315.9917419372
241400,52,647,3104,687,1157,3.12,-122.25,37.84,6843.02084737498,554364.406935648,733249.808577589,17538.2099724981,64315.9917419372
226700,42,595,2555,665,1206,2.0804,-122.26,37.84,6363.94801261769,554949.749518572,733820.824419216,16744.4065835069,64751.4638629145
261100,52,714,3549,707,1551,3.6912,-122.25,37.84,6843.02084737498,554364.406935648,733249.808577589,17538.2099724981,64315.9917419372
281500,52,402,2202,434,910,3.2031,-122.26,37.85,7349.62084160981,555778.657669268,734665.575038723,17260.0320736199,65716.117724091
241800,52,734,3503,752,1504,3.2705,-122.26,37.85,7349.62084160981,555778.657669268,734665.575038723,17260.0320736199,65716.117724091
213500,52,468,2491,474,1098,3.075,-122.26,37.85,7349.62084160981,555778.657669268,734665.575038723,17260.0320736199,65716.117724091
191300,52,174,696,191,345,2.6736,-122.26,37.84,6363.94801261769,554949.749518572,733820.824419216,16744.4065835069,64751.4638629145
159200,52,620,2643,626,1212,1.9167,-122.26,37.85,7349.62084160981,555778.657669268,734665.575038723,17260.0320736199,65716.117724091
140000,50,264,1120,283,697,2.125,-122.26,37.85,7349.62084160981,555778.657669268,734665.575038723,17260.0320736199,65716.117724091
152500,52,331,1966,347,793,2.775,-122.27,37.85,7016.67724394864,556363.889157129,735236.534241465,16499.7622031235,66154.0501389035
155500,52,303,1228,293,648,2.1202,-122.27,37.85,7016.67724394864,556363.889157129,735236.534241465,16499.7622031235,66154.0501389035
158700,50,419,2239,455,990,1.9911,-122.26,37.84,6363.94801261769,554949.749518572,733820.824419216,16744.4065835069,64751.4638629145
162900,52,275,1503,298,690,2.6033,-122.27,37.84,5976.28805827603,555535.931447864,734392.514953906,15959.4836572213,65195.9361857231
147500,40,166,751,184,409,1.3578,-122.27,37.85,7016.67724394864,556363.889157129,735236.534241465,16499.7622031235,66154.0501389035
159800,42,366,1639,367,929,1.7135,-122.27,37.85,7016.67724394864,556363.889157129,735236.534241465,16499.7622031235,66154.0501389035
113900,52,478,2436,541,1015,1.725,-122.27,37.84,5976.28805827603,555535.931447864,734392.514953906,15959.4836572213,65195.9361857231
99700,52,325,1688,337,853,2.1806,-122.27,37.84,5976.28805827603,555535.931447864,734392.514953906,15959.4836572213,65195.9361857231
