house_mdn_value,house_mdn_age,households,rooms,bedrooms,population,mdn_income,longitude,latitude,dist_coast,dist_la,dist_sd,dist_sf,dist_sj
71300,30,311,1548,282,886,3.1,-119.73,36.76,179997.043799852,329836.442212249,507222.433457115,264282.367242454,202343.866044065
75000,52,85,287,119,154,0.8738,-121.29,37.96,23213.9665093761,513631.196492161,692856.347837782,102297.209485655,87413.0779068033
75000,20,345,2680,599,918,2.2115,-123.53,40.88,51643.7960689836,890678.017511333,1069651.53584222,358061.225515747,418653.245181782
61000,36,255,1518,287,749,2.2333,-119.63,36.32,151616.479881825,281875.164118208,460156.581263159,296536.062703275,230901.878723565
40900,28,371,1673,385,1434,2.0586,-119.13,36.13,177791.395238839,244702.204388525,420385.088315274,345613.136720482,280331.611928561
71400,34,486,2861,510,1375,3.4286,-119.02,35.34,115620.196349046,159814.96384742,338353.777768589,407480.473659334,339759.484193352
68500,17,427,2248,535,927,1.3023,-118.47,35.64,168317.944104346,177755.102545334,346730.035412183,425382.533652971,359389.003542054
71900,36,616,3474,645,1679,2.7256,-119.03,35.34,115201.285928615,160223.013806574,338821.065360991,406813.429065202,339081.829585506
72000,37,14,102,17,29,4.125,-121.52,39.12,115571.026540478,634790.425413972,812870.191025718,169407.42596881,201086.459307402
36700,31,157,938,238,425,1.0486,-123.85,41.32,19585.130064336,946300.515879666,1125213.25492728,412619.893978131,473918.282087615
47500,36,146,607,155,483,1.5625,-119.81,36.74,173248.948797206,330859.351054366,508699.884595281,258905.445537097,196383.25899483
74600,15,510,2376,538,1197,3.1417,-119.73,36.8,182957.67495629,333887.662262536,511142.768345757,262358.426410041,200933.520464805
79500,52,333,1859,395,968,1.2034,-117.3,34.13,79763.997725534,87328.6136940203,157786.475785966,614233.783486035,546601.934985257
70300,29,107,331,85,341,0.7069,-117.34,34.13,77733.7496221792,83664.1174571132,158133.035330311,611534.492364662,543871.408210106
52600,33,403,2820,515,976,2.6062,-120.12,41.4,329355.26968658,833469.384223662,1000524.03226229,449169.913622446,476930.753252603
67700,19,503,2736,549,1432,2.6944,-119.03,36.08,181739.888412928,236558.749552602,411491.053510271,356175.986620482,290888.204089586
61800,24,342,1438,351,1294,2.7829,-121.29,37.93,24926.6968396592,510841.33351736,690090.934473104,101695.299304513,84793.9517532545
52500,31,248,696,254,913,1.4,-120.05,36.95,156054.524125998,361311.245379523,539556.745907752,229527.167607042,168887.362562158
22500,33,63,296,73,216,2.675,-122.32,37.93,3898.78993042499,565923.718908281,744849.838694893,19912.1548011228,76051.7471880793
57500,33,441,2235,506,1165,1.725,-124.15,40.88,7687.99903315979,920408.456174172,1099755.44078195,375661.028910283,439574.196758825
66400,21,316,1302,327,1244,2.2054,-115.52,32.98,36802.5828853744,279222.308550843,156093.384852811,822227.155065935,754788.310954205
74600,43,352,1697,387,1181,1.9234,-117.31,34.08,74702.5850308987,86059.3978407628,152327.74466273,617348.738780037,549659.008062967
53500,17,453,1959,484,1763,2.1357,-118.83,35.2,109623.0697794,138441.897227862,316213.048692347,430714.267903014,362993.987411089
80500,52,571,2416,618,1150,1.7308,-124.16,40.8,4044.83882261923,913758.215897727,1093130.48665394,367881.360934464,432057.902390049
53100,39,232,1173,269,702,1.6146,-119.02,36.07,181834.300241535,235225.559189872,410102.674368729,357535.146222524,292218.725159138
69700,42,436,2311,439,1347,2.5556,-119.6,36.57,172842.986008448,305808.486715803,483123.571215886,284329.128595076,220812.718544023
63900,21,169,983,165,672,2.975,-118.99,36.07,184051.549823901,234420.031323422,408966.303637286,359798.915762045,294565.148501887
76800,41,595,2551,594,1342,1.9671,-119.03,35.36,117181.868864987,162209.701630631,340727.701111911,405308.572572375,337606.249401034
69800,29,264,1649,342,671,3.0602,-119.93,35.2,65437.0260917805,200233.822910628,376161.005062606,363175.639021659,295544.608360644
51700,41,721,3095,766,1852,1.4524,-119.64,36.33,151667.818252069,283272.541831695,461568.115725844,295172.816853263,229571.122204025
67500,46,5,55,11,26,4.125,-119.55,36.51,171183.310306186,297897.185815756,475133.742568203,291490.599574913,227601.503437974
65000,31,433,2366,482,1933,3.0234,-119.98,36.86,161626.889127862,349563.057451439,527777.632412509,239404.147716954,177709.252490432
72500,34,171,864,184,579,2.0417,-119.44,36.6,185205.246185029,303367.870193177,479532.702395904,295372.983611158,232761.776819631
48500,19,319,1334,336,1171,1.0481,-119.8,36.72,172446.41553767,328469.491258318,506323.773359336,260718.112820079,197999.60031565
49800,21,445,2274,495,1157,2.098,-121.42,38.65,65449.3732169614,584953.435203716,763556.652784062,131510.222651149,151931.346106251
55000,16,619,2680,704,975,1.7878,-120.63,35.13,2775.46452482616,249143.168228936,417693.054842985,335226.50751001,270130.899496336
74600,39,402,2235,412,1268,2.6758,-120.57,37.43,109087.248699476,430250.367711588,609002.557540799,168371.704070212,117366.967593705
47500,22,153,639,203,664,1.9306,-116.17,33.66,117041.483278173,196385.404933526,139749.207259881,726867.707015678,659655.621351819
57800,24,374,1961,422,1559,1.8299,-120.05,36.72,154390.478357827,338817.563838257,517586.000778214,241158.782659529,177341.877843667
74500,20,210,1182,250,512,1.7935,-122.56,40.75,134530.995555649,836392.97040542,1014157.31167347,331104.54871993,384018.010906903
